Long,Lat,Sum
126.612612613,1.98198198198,0
126.621621622,1.98198198198,0
126.630630631,1.98198198198,0
126.63963964,1.98198198198,0
126.648648649,1.98198198198,0
126.657657658,1.98198198198,0
126.666666667,1.98198198198,0
126.675675676,1.98198198198,0
126.684684685,1.98198198198,0
126.693693694,1.98198198198,0
126.702702703,1.98198198198,0
126.711711712,1.98198198198,0
126.720720721,1.98198198198,0
126.72972973,1.98198198198,0
126.738738739,1.98198198198,0
126.747747748,1.98198198198,0
126.756756757,1.98198198198,0
126.765765766,1.98198198198,0
126.774774775,1.98198198198,0
126.783783784,1.98198198198,0
126.792792793,1.98198198198,0
126.801801802,1.98198198198,0
126.810810811,1.98198198198,0
126.81981982,1.98198198198,0
126.828828829,1.98198198198,0
126.837837838,1.98198198198,0
126.846846847,1.98198198198,1
126.855855856,1.98198198198,0
126.864864865,1.98198198198,0
126.873873874,1.98198198198,0
126.882882883,1.98198198198,0
126.891891892,1.98198198198,0
126.900900901,1.98198198198,0
126.90990991,1.98198198198,0
126.918918919,1.98198198198,0
126.927927928,1.98198198198,0
126.936936937,1.98198198198,0
126.945945946,1.98198198198,0
126.954954955,1.98198198198,0
126.963963964,1.98198198198,0
126.972972973,1.98198198198,0
126.981981982,1.98198198198,0
126.990990991,1.98198198198,0
127.0,1.98198198198,0
127.009009009,1.98198198198,0
127.018018018,1.98198198198,0
127.027027027,1.98198198198,0
127.036036036,1.98198198198,1
127.045045045,1.98198198198,0
127.054054054,1.98198198198,0
127.063063063,1.98198198198,0
127.072072072,1.98198198198,0
127.081081081,1.98198198198,0
127.09009009,1.98198198198,1
127.099099099,1.98198198198,0
127.108108108,1.98198198198,0
127.117117117,1.98198198198,0
127.126126126,1.98198198198,0
127.135135135,1.98198198198,0
127.144144144,1.98198198198,0
127.153153153,1.98198198198,0
127.162162162,1.98198198198,0
127.171171171,1.98198198198,0
127.18018018,1.98198198198,0
127.189189189,1.98198198198,0
127.198198198,1.98198198198,0
127.207207207,1.98198198198,2
127.216216216,1.98198198198,0
127.225225225,1.98198198198,1
127.234234234,1.98198198198,0
127.243243243,1.98198198198,0
127.252252252,1.98198198198,0
127.261261261,1.98198198198,0
127.27027027,1.98198198198,0
127.279279279,1.98198198198,0
127.288288288,1.98198198198,0
127.297297297,1.98198198198,0
127.306306306,1.98198198198,0
127.315315315,1.98198198198,0
127.324324324,1.98198198198,0
127.333333333,1.98198198198,0
127.342342342,1.98198198198,0
127.351351351,1.98198198198,1
127.36036036,1.98198198198,0
127.369369369,1.98198198198,0
127.378378378,1.98198198198,0
127.387387387,1.98198198198,0
127.396396396,1.98198198198,0
127.405405405,1.98198198198,0
127.414414414,1.98198198198,0
127.423423423,1.98198198198,0
127.432432432,1.98198198198,0
127.441441441,1.98198198198,0
127.45045045,1.98198198198,0
127.459459459,1.98198198198,0
127.468468468,1.98198198198,0
127.477477477,1.98198198198,0
127.486486486,1.98198198198,0
127.495495495,1.98198198198,0
127.504504505,1.98198198198,0
127.513513514,1.98198198198,0
127.522522523,1.98198198198,0
127.531531532,1.98198198198,0
127.540540541,1.98198198198,0
127.54954955,1.98198198198,0
127.558558559,1.98198198198,0
127.567567568,1.98198198198,0
127.576576577,1.98198198198,0
127.585585586,1.98198198198,0
127.594594595,1.98198198198,0
127.603603604,1.98198198198,0
127.612612613,1.98198198198,0
127.621621622,1.98198198198,0
127.630630631,1.98198198198,0
127.63963964,1.98198198198,0
127.648648649,1.98198198198,0
127.657657658,1.98198198198,0
127.666666667,1.98198198198,0
127.675675676,1.98198198198,0
127.684684685,1.98198198198,0
127.693693694,1.98198198198,1
127.702702703,1.98198198198,1
127.711711712,1.98198198198,0
127.720720721,1.98198198198,1
127.72972973,1.98198198198,0
127.738738739,1.98198198198,0
127.747747748,1.98198198198,0
127.756756757,1.98198198198,0
127.765765766,1.98198198198,0
127.774774775,1.98198198198,2
127.783783784,1.98198198198,1
127.792792793,1.98198198198,0
127.801801802,1.98198198198,0
127.810810811,1.98198198198,0
127.81981982,1.98198198198,0
127.828828829,1.98198198198,1
127.837837838,1.98198198198,1
127.846846847,1.98198198198,1
127.855855856,1.98198198198,2
127.864864865,1.98198198198,0
127.873873874,1.98198198198,1
127.882882883,1.98198198198,0
127.891891892,1.98198198198,0
127.900900901,1.98198198198,2
127.90990991,1.98198198198,4
127.918918919,1.98198198198,1
127.927927928,1.98198198198,3
127.936936937,1.98198198198,3
127.945945946,1.98198198198,1
127.954954955,1.98198198198,1
127.963963964,1.98198198198,2
127.972972973,1.98198198198,1
127.981981982,1.98198198198,1
127.990990991,1.98198198198,0
128.0,1.98198198198,3
126.0,1.97297297297,0
126.009009009,1.97297297297,0
126.018018018,1.97297297297,0
126.027027027,1.97297297297,0
126.036036036,1.97297297297,0
126.045045045,1.97297297297,0
126.054054054,1.97297297297,0
126.063063063,1.97297297297,0
126.072072072,1.97297297297,0
126.081081081,1.97297297297,0
126.09009009,1.97297297297,0
126.099099099,1.97297297297,0
126.108108108,1.97297297297,0
126.117117117,1.97297297297,0
126.126126126,1.97297297297,0
126.135135135,1.97297297297,0
126.144144144,1.97297297297,0
126.153153153,1.97297297297,0
126.162162162,1.97297297297,0
126.171171171,1.97297297297,0
126.18018018,1.97297297297,0
126.189189189,1.97297297297,0
126.198198198,1.97297297297,0
126.207207207,1.97297297297,0
126.216216216,1.97297297297,0
126.225225225,1.97297297297,0
126.234234234,1.97297297297,0
126.243243243,1.97297297297,0
126.252252252,1.97297297297,0
126.261261261,1.97297297297,0
126.27027027,1.97297297297,0
126.279279279,1.97297297297,0
126.288288288,1.97297297297,0
126.297297297,1.97297297297,0
126.306306306,1.97297297297,0
126.315315315,1.97297297297,0
126.324324324,1.97297297297,0
126.333333333,1.97297297297,0
126.342342342,1.97297297297,0
126.351351351,1.97297297297,0
126.36036036,1.97297297297,0
126.369369369,1.97297297297,1
126.378378378,1.97297297297,0
126.387387387,1.97297297297,0
126.396396396,1.97297297297,0
126.405405405,1.97297297297,1
126.414414414,1.97297297297,1
126.423423423,1.97297297297,0
126.432432432,1.97297297297,0
126.441441441,1.97297297297,1
126.45045045,1.97297297297,1
126.459459459,1.97297297297,0
126.468468468,1.97297297297,0
126.477477477,1.97297297297,1
126.486486486,1.97297297297,0
126.495495495,1.97297297297,1
126.504504505,1.97297297297,0
126.513513514,1.97297297297,1
126.522522523,1.97297297297,0
126.531531532,1.97297297297,0
126.540540541,1.97297297297,0
126.54954955,1.97297297297,0
126.558558559,1.97297297297,0
126.567567568,1.97297297297,0
126.576576577,1.97297297297,0
126.585585586,1.97297297297,0
126.594594595,1.97297297297,0
126.603603604,1.97297297297,0
126.612612613,1.97297297297,0
126.621621622,1.97297297297,0
126.630630631,1.97297297297,0
126.63963964,1.97297297297,0
126.648648649,1.97297297297,0
126.657657658,1.97297297297,1
126.666666667,1.97297297297,0
126.675675676,1.97297297297,0
126.684684685,1.97297297297,0
126.693693694,1.97297297297,0
126.702702703,1.97297297297,0
126.711711712,1.97297297297,0
126.720720721,1.97297297297,0
126.72972973,1.97297297297,0
126.738738739,1.97297297297,0
126.747747748,1.97297297297,0
126.756756757,1.97297297297,0
126.765765766,1.97297297297,0
126.774774775,1.97297297297,0
126.783783784,1.97297297297,0
126.792792793,1.97297297297,1
126.801801802,1.97297297297,0
126.810810811,1.97297297297,0
126.81981982,1.97297297297,0
126.828828829,1.97297297297,0
126.837837838,1.97297297297,0
126.846846847,1.97297297297,0
126.855855856,1.97297297297,0
126.864864865,1.97297297297,0
126.873873874,1.97297297297,0
126.882882883,1.97297297297,0
126.891891892,1.97297297297,0
126.900900901,1.97297297297,0
126.90990991,1.97297297297,0
126.918918919,1.97297297297,0
126.927927928,1.97297297297,1
126.936936937,1.97297297297,0
126.945945946,1.97297297297,0
126.954954955,1.97297297297,0
126.963963964,1.97297297297,0
126.972972973,1.97297297297,0
126.981981982,1.97297297297,0
126.990990991,1.97297297297,0
127.0,1.97297297297,0
127.009009009,1.97297297297,0
127.018018018,1.97297297297,0
127.027027027,1.97297297297,0
127.036036036,1.97297297297,0
127.045045045,1.97297297297,0
127.054054054,1.97297297297,0
127.063063063,1.97297297297,0
127.072072072,1.97297297297,0
127.081081081,1.97297297297,0
127.09009009,1.97297297297,1
127.099099099,1.97297297297,0
127.108108108,1.97297297297,0
127.117117117,1.97297297297,0
127.126126126,1.97297297297,0
127.135135135,1.97297297297,0
127.144144144,1.97297297297,0
127.153153153,1.97297297297,0
127.162162162,1.97297297297,0
127.171171171,1.97297297297,0
127.18018018,1.97297297297,0
127.189189189,1.97297297297,0
127.198198198,1.97297297297,0
127.207207207,1.97297297297,0
127.216216216,1.97297297297,0
127.225225225,1.97297297297,0
127.234234234,1.97297297297,0
127.243243243,1.97297297297,0
127.252252252,1.97297297297,1
127.261261261,1.97297297297,0
127.27027027,1.97297297297,0
127.279279279,1.97297297297,0
127.288288288,1.97297297297,0
127.297297297,1.97297297297,0
127.306306306,1.97297297297,0
127.315315315,1.97297297297,1
127.324324324,1.97297297297,0
127.333333333,1.97297297297,0
127.342342342,1.97297297297,1
127.351351351,1.97297297297,0
127.36036036,1.97297297297,0
127.369369369,1.97297297297,1
127.378378378,1.97297297297,0
127.387387387,1.97297297297,0
127.396396396,1.97297297297,0
127.405405405,1.97297297297,0
127.414414414,1.97297297297,0
127.423423423,1.97297297297,0
127.432432432,1.97297297297,1
127.441441441,1.97297297297,0
127.45045045,1.97297297297,0
127.459459459,1.97297297297,0
127.468468468,1.97297297297,0
127.477477477,1.97297297297,0
127.486486486,1.97297297297,0
127.495495495,1.97297297297,0
127.504504505,1.97297297297,0
127.513513514,1.97297297297,0
127.522522523,1.97297297297,0
127.531531532,1.97297297297,0
127.540540541,1.97297297297,0
127.54954955,1.97297297297,0
127.558558559,1.97297297297,0
127.567567568,1.97297297297,0
127.576576577,1.97297297297,0
127.585585586,1.97297297297,0
127.594594595,1.97297297297,0
127.603603604,1.97297297297,0
127.612612613,1.97297297297,0
127.621621622,1.97297297297,1
127.630630631,1.97297297297,0
127.63963964,1.97297297297,0
127.648648649,1.97297297297,0
127.657657658,1.97297297297,0
127.666666667,1.97297297297,0
127.675675676,1.97297297297,1
127.684684685,1.97297297297,0
127.693693694,1.97297297297,0
127.702702703,1.97297297297,1
127.711711712,1.97297297297,1
127.720720721,1.97297297297,1
127.72972973,1.97297297297,1
127.738738739,1.97297297297,0
127.747747748,1.97297297297,0
127.756756757,1.97297297297,0
127.765765766,1.97297297297,0
127.774774775,1.97297297297,3
127.783783784,1.97297297297,0
127.792792793,1.97297297297,0
127.801801802,1.97297297297,1
127.810810811,1.97297297297,0
127.81981982,1.97297297297,0
127.828828829,1.97297297297,1
127.837837838,1.97297297297,2
127.846846847,1.97297297297,0
127.855855856,1.97297297297,4
127.864864865,1.97297297297,0
127.873873874,1.97297297297,2
127.882882883,1.97297297297,0
127.891891892,1.97297297297,1
127.900900901,1.97297297297,0
127.90990991,1.97297297297,0
127.918918919,1.97297297297,0
127.927927928,1.97297297297,3
127.936936937,1.97297297297,0
127.945945946,1.97297297297,0
127.954954955,1.97297297297,1
127.963963964,1.97297297297,1
127.972972973,1.97297297297,0
127.981981982,1.97297297297,1
127.990990991,1.97297297297,0
128.0,1.97297297297,0
126.0,1.96396396396,0
126.009009009,1.96396396396,0
126.018018018,1.96396396396,0
126.027027027,1.96396396396,0
126.036036036,1.96396396396,0
126.045045045,1.96396396396,0
126.054054054,1.96396396396,0
126.063063063,1.96396396396,0
126.072072072,1.96396396396,0
126.081081081,1.96396396396,0
126.09009009,1.96396396396,0
126.099099099,1.96396396396,0
126.108108108,1.96396396396,0
126.117117117,1.96396396396,0
126.126126126,1.96396396396,0
126.135135135,1.96396396396,0
126.144144144,1.96396396396,1
126.153153153,1.96396396396,0
126.162162162,1.96396396396,0
126.171171171,1.96396396396,0
126.18018018,1.96396396396,0
126.189189189,1.96396396396,0
126.198198198,1.96396396396,0
126.207207207,1.96396396396,0
126.216216216,1.96396396396,0
126.225225225,1.96396396396,0
126.234234234,1.96396396396,0
126.243243243,1.96396396396,0
126.252252252,1.96396396396,0
126.261261261,1.96396396396,0
126.27027027,1.96396396396,0
126.279279279,1.96396396396,0
126.288288288,1.96396396396,0
126.297297297,1.96396396396,0
126.306306306,1.96396396396,0
126.315315315,1.96396396396,0
126.324324324,1.96396396396,0
126.333333333,1.96396396396,0
126.342342342,1.96396396396,0
126.351351351,1.96396396396,0
126.36036036,1.96396396396,0
126.369369369,1.96396396396,0
126.378378378,1.96396396396,0
126.387387387,1.96396396396,0
126.396396396,1.96396396396,0
126.405405405,1.96396396396,0
126.414414414,1.96396396396,0
126.423423423,1.96396396396,0
126.432432432,1.96396396396,0
126.441441441,1.96396396396,0
126.45045045,1.96396396396,1
126.459459459,1.96396396396,0
126.468468468,1.96396396396,1
126.477477477,1.96396396396,0
126.486486486,1.96396396396,1
126.495495495,1.96396396396,1
126.504504505,1.96396396396,0
126.513513514,1.96396396396,0
126.522522523,1.96396396396,1
126.531531532,1.96396396396,0
126.540540541,1.96396396396,0
126.54954955,1.96396396396,0
126.558558559,1.96396396396,1
126.567567568,1.96396396396,0
126.576576577,1.96396396396,0
126.585585586,1.96396396396,0
126.594594595,1.96396396396,1
126.603603604,1.96396396396,0
126.612612613,1.96396396396,0
126.621621622,1.96396396396,0
126.630630631,1.96396396396,0
126.63963964,1.96396396396,0
126.648648649,1.96396396396,0
126.657657658,1.96396396396,0
126.666666667,1.96396396396,0
126.675675676,1.96396396396,0
126.684684685,1.96396396396,0
126.693693694,1.96396396396,0
126.702702703,1.96396396396,0
126.711711712,1.96396396396,1
126.720720721,1.96396396396,0
126.72972973,1.96396396396,0
126.738738739,1.96396396396,0
126.747747748,1.96396396396,0
126.756756757,1.96396396396,0
126.765765766,1.96396396396,0
